분류,제목,날짜_월,날짜_일,분기
건설ㆍ교통,가로등 설치 의견,10,14,4
건설ㆍ교통,금남공원옆골목 주차 단속해주세요,10,14,4
건설ㆍ교통,소태동 어르신들을 위한 인도가 절실히 필요합니다.,10,13,4
건설ㆍ교통,소방도로 공사 진행과 전주 이전에 관한 건,10,13,4
건설ㆍ교통,현수막 이전설치 부탁드립니다,10,13,4
건설ㆍ교통,가로등 설치가 필요합니다,10,13,4
건설ㆍ교통,9월30일자글에 대한 10월7일 답변 반박,10,12,4
건설ㆍ교통,아파트 정문 앞 유턴차선 신설로 인해 문제가 발생되고 있습니다. 시정 요청드립니다.,10,12,4
건설ㆍ교통,주차단속 등,10,11,4
건설ㆍ교통,뭐 이런 어이없는 경우가...,10,11,4
건설ㆍ교통,동명동 보행환경개선공사 경계석 턱이 너무낮아요.,10,9,4
건설ㆍ교통,금남로4가역 공사,10,9,4
건설ㆍ교통,지산동 법원 근처 공사문제,10,8,4
건설ㆍ교통,산수시장 입구 차 좀 다닙시다,10,8,4
건설ㆍ교통,아무리 점심시간이어도 차는 지나가게 해야되는거 아닙니까?,10,8,4
건설ㆍ교통,광주 자전거 타랑께 동구 서비스시행 요청,10,8,4
건설ㆍ교통,서남동 공영주차장에 번호판뗀차량 방치중,10,7,4
건설ㆍ교통,감사합니다 (__ )꾸벅!,10,7,4
건설ㆍ교통,남광주역고가쪽 자전거도로 보수신청합니다.,10,6,4
건설ㆍ교통,남광주사거리 좌회전차선문제,10,5,4
건설ㆍ교통,용산동 메인도로에 신규 횡단보도 설치를 요청 드립니다.,10,4,4
건설ㆍ교통,가로등 점검요청,10,3,4
건설ㆍ교통,보도블럭 포장 조잡시공,10,3,4
건설ㆍ교통,감사드립니다.,10,3,4
건설ㆍ교통,불법 현수막 철거 부탁드립니다.,10,2,4
건설ㆍ교통,긴급 복구 부탁드립니다,10,2,4
건설ㆍ교통,동명로20번길 도로공사 관련...,10,1,4
건설ㆍ교통,아파트옆 도로 리어카 문제,10,1,4
건설ㆍ교통,가로등 점검 요청,9,30,3
건설ㆍ교통,동명동 주차문제,9,30,3
건설ㆍ교통,남초 어린이보호구역,9,30,3
건설ㆍ교통,"제발 단속좀합시다,,,",9,29,3
건설ㆍ교통,현수막 철거 부탁드립니다,9,29,3
건설ㆍ교통,도로반사경 재정비 및 횡단보도 설치 건의,9,28,3
건설ㆍ교통,이레도 돼나요,9,27,3
건설ㆍ교통,"게림동 두산3차 메가커피 와 광주고 측벽면 , 계림신협방면 지브라형횡단보도설치요청건",9,27,3
건설ㆍ교통,인도를 가로막는 주차정리,9,26,3
건설ㆍ교통,주정차무인단속카메라 CCTV건,9,26,3
건설ㆍ교통,도로위 맨홀뚜껑 소음,9,25,3
건설ㆍ교통,하수구 덮개 파손으로 위험합니다,9,25,3
건설ㆍ교통,가로등 고장,9,25,3
건설ㆍ교통,문제가 심각하네요...,9,24,3
건설ㆍ교통,보안등 고장신고,9,23,3
건설ㆍ교통,도로확장후 주차피해,9,23,3
건설ㆍ교통,남광주시장의 작태 동구청의 무능,9,19,3
건설ㆍ교통,담양버스 너무 합니다,9,17,3
건설ㆍ교통,신호등앞주차단속,9,17,3
건설ㆍ교통,학운동 행정복지센터 전기차충전소 제발 (1),9,16,3
건설ㆍ교통,방범등 고장신고,9,16,3
건설ㆍ교통,현수막으로 운전이 위험합니다,9,15,3
건설ㆍ교통,동명동 차도?보행로 공사,9,14,3
