,시간,사용량
1,16,1640
2,15,1596
3,17,1476
4,18,1444
5,20,1411
6,19,1280
7,14,1208
8,13,952
9,12,812
10,11,672
11,8,612
12,9,500
13,10,476
14,7,292
15,21,4
,,14375
