,시간,사용량
1,16,288
2,18,220
3,15,180
4,19,172
5,20,164
6,17,148
7,14,116
8,9,108
9,12,100
10,13,96
11,11,88
12,10,52
13,8,28
14,7,16
15,23,4
16,21,3
,,1783
