,시간,사용량
1,18,1524
2,19,1492
3,20,1435
4,17,1340
5,16,904
6,15,772
7,14,724
8,13,648
9,12,512
10,11,432
11,8,408
12,9,272
13,10,248
14,7,156
15,21,24
,,10891
