위도,경도
35.16007,126.848452
35.151605,126.848382
35.146693,126.848698
35.144263,126.857249
35.137679,126.858893
35.132572,126.86275
35.132274,126.873114
35.127058,126.877326
35.130164,126.8865
35.133337,126.894191
35.13319,126.901898
35.134253,126.910228
35.135981,126.917921
35.139254,126.922996
35.144009,126.925861
35.150857,126.930342
35.154744,126.931913
35.163495,126.924583
35.167131,126.909978
