,시간,사용량
1,20,923
2,19,824
3,18,768
4,17,552
5,16,464
6,8,372
7,15,304
8,14,292
9,12,248
10,9,236
11,11,236
12,10,228
13,13,196
14,7,100
15,21,8
,,5751
