가상번호,분류,제목,등록일자,처리상태
25518,건설ㆍ교통,산수동 무등산전망대 폭주족,작성일시 : 2021/08/26,답변완료
,,,,(처리완료)
25516,건설ㆍ교통,어린이 보호구역 주차단속,작성일시 : 2021/08/26,답변완료
,,,,(처리중)
25508,건설ㆍ교통,용산지구 울타리 관련,작성일시 : 2021/08/26,답변완료
,,,,(처리중)
25504,환경ㆍ청소,소음,작성일시 : 2021/08/25,답변완료
,,,,(처리완료)
25503,환경ㆍ청소,소음,작성일시 : 2021/08/25,답변완료
,,,,(처리완료)
25500,미담사례,르네상스 사업 (1),작성일시 : 2021/08/25,답변완료
,,,,(처리완료)
25499,환경ㆍ청소,재활용,작성일시 : 2021/08/25,답변완료
,,,,(처리중)
25489,환경ㆍ청소,학소로 76번길 (1),작성일시 : 2021/08/25,답변완료
,,,,(처리완료)
25479,보건ㆍ복지,동구 어린이집 심폐소생술 (5),작성일시 : 2021/08/25,답변완료
,,,,(처리완료)
25478,건설ㆍ교통,버스정류장 도로 침하 (1),작성일시 : 2021/08/25,답변완료
,,,,(처리중)
25476,도시ㆍ건축,2021.08.28. 오전11시 무등산그린웰로제비앙 임원선출절차를 중지시켜 주시기 바랍니다. (7),작성일시 : 2021/08/25,답변완료
,,,,(처리중)
25474,건설ㆍ교통,구청장님께다시한번부탁드립니다.,작성일시 : 2021/08/24,답변완료
,,,,(처리완료)
25473,환경ㆍ청소,구청장님께 드리는글 (1),작성일시 : 2021/08/24,답변완료
,,,,(처리완료)
25472,도시ㆍ건축,수의계약 업무 처리 부당 (1),작성일시 : 2021/08/24,답변완료
,,,,(처리완료)
25467,건설ㆍ교통,횡단보도 설치 건의 (1),작성일시 : 2021/08/24,답변완료
,,,,(처리완료)
25460,건설ㆍ교통,동구 학소로 땅꺼짐.,작성일시 : 2021/08/24,답변완료
,,,,(처리완료)
25457,기타,냄새..연기..,작성일시 : 2021/08/24,답변완료
,,,,(처리중)
25453,건설ㆍ교통,동구청버스정류장 도로침하 (1),작성일시 : 2021/08/24,답변완료
,,,,(처리중)
25445,환경ㆍ청소,칭찬합니다 (1),작성일시 : 2021/08/24,답변완료
,,,,(처리완료)
25439,건설ㆍ교통,살레시오 정문앞 도로 무단 주정차 배달 오토바이 단속 해주세요. (1),작성일시 : 2021/08/24,답변완료
,,,,(처리완료)
25437,건설ㆍ교통,산수동 그린웰 아파트옆 푸린길 개설도로,작성일시 : 2021/08/23,답변완료
,,,,(처리완료)
25436,환경ㆍ청소,종량제봉투 판매소 주문방법 변경 부탁드려요,작성일시 : 2021/08/23,답변완료
,,,,(처리완료)
25432,건설ㆍ교통,주차단속 및 중앙분리대 설치건의 (1),작성일시 : 2021/08/23,답변완료
,,,,(처리중)
25431,건설ㆍ교통,지산IC개통전 신호등과 과속카메라 부탁드립니다 (2),작성일시 : 2021/08/23,답변완료
,,,,(처리완료)
25424,환경ㆍ청소,하수구 퇴적물 제거요청,작성일시 : 2021/08/23,답변완료
,,,,(처리완료)
25410,건설ㆍ교통,오토바이 주정차 (1),작성일시 : 2021/08/23,답변완료
,,,,(처리중)
25409,기타,킥보드,작성일시 : 2021/08/23,답변완료
,,,,(처리중)
25408,환경ㆍ청소,소음,작성일시 : 2021/08/23,답변완료
,,,,(처리완료)
25407,도시ㆍ건축,계림2동 행정복지센터(동사무소) 준공 문의,작성일시 : 2021/08/22,답변완료
,,,,(처리중)
25406,도시ㆍ건축,골목길이 무서워요,작성일시 : 2021/08/22,답변완료
,,,,(처리중)
25405,기타,밑에 버스승강장 워터파크 민원에 덧붙여서 민원 드립니다,작성일시 : 2021/08/22,답변완료
,,,,(처리중)
25404,환경ㆍ청소,ㅡ3,작성일시 : 2021/08/21,답변완료
,,,,(처리중)
25403,건설ㆍ교통,버스승강장 워터파크 (1),작성일시 : 2021/08/21,답변완료
,,,,(처리중)
25402,도시ㆍ건축,장마라는 데..걱정됩니다. 개발일 까? 파괴일 까?,작성일시 : 2021/08/21,답변완료
,,,,(처리중)
25401,기타,법무감사관은 똑바로 감사 하시길 바랍니다,작성일시 : 2021/08/21,답변완료
,,,,(처리중)
25400,환경ㆍ청소,소음,작성일시 : 2021/08/21,답변완료
,,,,(처리완료)
25399,기타,역시나 답변 못하시네요,작성일시 : 2021/08/21,답변완료
,,,,(중장기시행)
25392,건설ㆍ교통,동구청주차장이용,작성일시 : 2021/08/20,답변완료
,,,,(처리완료)
25376,환경ㆍ청소,소음,작성일시 : 2021/08/19,답변완료
,,,,(처리완료)
25375,환경ㆍ청소,홈플러스 계림점 근처 비둘기너무 힘들어요 (3),작성일시 : 2021/08/19,답변완료
,,,,(처리중)
25374,보건ㆍ복지,모기 포충기 수리요청,작성일시 : 2021/08/19,답변완료
,,,,(처리완료)
25373,도시ㆍ건축,보안등 수리 요청,작성일시 : 2021/08/19,답변완료
,,,,(처리완료)
25372,건설ㆍ교통,조대 일방로 오토바이 주정차 (4),작성일시 : 2021/08/19,답변완료
,,,,(처리완료)
25371,건설ㆍ교통,우회도로만든후상황,작성일시 : 2021/08/19,답변완료
,,,,(처리중)
25357,도시ㆍ건축,선관위 회의 및 절차,작성일시 : 2021/08/19,답변완료
,,,,(처리완료)
25356,보건ㆍ복지,계림동 상가 화재 위험성 있어 지도 점검 요청합니다! (2),작성일시 : 2021/08/19,답변완료
,,,,(처리완료)
25355,환경ㆍ청소,가로등 불이 안들어와요,작성일시 : 2021/08/19,답변완료
,,,,(처리완료)
25346,도시ㆍ건축,계단높이 법적 규정이 맞는건지 궁금합니다,작성일시 : 2021/08/18,답변완료
,,,,(처리중)
25343,문화ㆍ경제,종합소득신고나 부가가치세 신고할수있도록 프로그램개설 (3),작성일시 : 2021/08/18,답변완료
,,,,(처리완료)
25340,환경ㆍ청소,"소음,비산먼지",작성일시 : 2021/08/18,답변완료
,,,,(처리완료)
25338,건설ㆍ교통,불법적치물 신고합니다,작성일시 : 2021/08/18,답변완료
,,,,(처리중)
25337,환경ㆍ청소,잡상인단속,작성일시 : 2021/08/18,답변완료
,,,,(처리중)
25336,건설ㆍ교통,불법 주차 단속 바랍니다,작성일시 : 2021/08/18,답변완료
,,,,(처리완료)
25335,환경ㆍ청소,푸른길 산수마당 부근 넘 지저분해요,작성일시 : 2021/08/18,답변완료
,,,,(처리완료)
25329,보건ㆍ복지,경로당5,작성일시 : 2021/08/18,답변완료
,,,,(처리완료)
25328,도시ㆍ건축,지적재조사 관련 문의입니다.,작성일시 : 2021/08/18,답변완료
,,,,(처리완료)
25320,기타,심폐소생술등 긴급대처교육,작성일시 : 2021/08/18,답변완료
,,,,(처리중)
25319,환경ㆍ청소,소음,작성일시 : 2021/08/17,답변완료
,,,,(처리완료)
25318,환경ㆍ청소,소음,작성일시 : 2021/08/17,답변완료
,,,,(처리완료)
25317,건설ㆍ교통,개념없는 불법주정차,작성일시 : 2021/08/17,답변완료
,,,,(처리중)
25316,건설ㆍ교통,대인시장내 주정차에 관한건(과도한 신고),작성일시 : 2021/08/17,답변완료
,,,,(처리중)
25315,보건ㆍ복지,전화가 안되서 그러는데 전화좀 주세요,작성일시 : 2021/08/17,답변완료
,,,,(처리완료)
25306,도시ㆍ건축,인도가 없어요,작성일시 : 2021/08/17,답변완료
,,,,(처리중)
25305,보건ㆍ복지,복지.,작성일시 : 2021/08/17,답변완료
,,,,(처리완료)
25304,공원ㆍ체육,두암제2근린공원가로등이모두꺼짐,작성일시 : 2021/08/16,답변완료
,,,,(처리중)
25303,기타,계림동 주민 주차장,작성일시 : 2021/08/16,답변완료
,,,,(처리중)
25302,공원ㆍ체육,계림동 그랜드센트럴 수영장 (2),작성일시 : 2021/08/16,답변완료
,,,,(처리완료)
25300,미담사례,광주동구보건소에 감사드립니다. (1),작성일시 : 2021/08/16,답변완료
,,,,(처리완료)
25299,문화ㆍ경제,하공의 랜드마크 남광주시장,작성일시 : 2021/08/16,답변완료
,,,,(처리중)
25296,환경ㆍ청소,불편해요,작성일시 : 2021/08/15,답변완료
,,,,(처리완료)
25295,건설ㆍ교통,어린이 보호구역 불법주정차 신고합니다,작성일시 : 2021/08/15,답변완료
,,,,(처리중)
25294,미담사례,칭찬합니다 (1),작성일시 : 2021/08/15,답변완료
,,,,(처리완료)
25293,도시ㆍ건축,공고이행 의무,작성일시 : 2021/08/14,답변완료
,,,,(처리완료)
25289,건설ㆍ교통,롯데백화점 불법 주정차로 중앙선 넘어서 가는 상황 아시나요!!,작성일시 : 2021/08/14,답변완료
,,,,(처리중)
25288,건설ㆍ교통,불법주정차를 신고합니다,작성일시 : 2021/08/14,답변완료
,,,,(처리중)
25286,환경ㆍ청소,불편해요,작성일시 : 2021/08/13,답변완료
,,,,(처리완료)
25284,환경ㆍ청소,아파트에서 소음이 심해요.,작성일시 : 2021/08/13,답변완료
,,,,(처리완료)
25279,건설ㆍ교통,계단 앞쪽 도로가 옆 인도 포장,작성일시 : 2021/08/13,답변완료
,,,,(처리중)
25278,도시ㆍ건축,보안등 수리요청,작성일시 : 2021/08/13,답변완료
,,,,(처리완료)
25277,환경ㆍ청소,불편해요,작성일시 : 2021/08/13,답변완료
,,,,(처리완료)
25276,환경ㆍ청소,계림두산2차상가앞,작성일시 : 2021/08/13,답변완료
,,,,(처리중)
25271,도시ㆍ건축,구청장님께다시한번부탁드립니다.,작성일시 : 2021/08/13,답변완료
,,,,(처리완료)
25270,미담사례,서해동주민안전담당관님 칭찬합니다 (1),작성일시 : 2021/08/13,답변완료
,,,,(처리완료)
25269,환경ㆍ청소,불편해요,작성일시 : 2021/08/12,답변완료
,,,,(처리완료)
25268,환경ㆍ청소,불편해요,작성일시 : 2021/08/12,답변완료
,,,,(처리완료)
25267,환경ㆍ청소,유기견 구조,작성일시 : 2021/08/12,답변완료
,,,,(처리완료)
25265,건설ㆍ교통,용산동 이디야쪽 울타리 항의 (1),작성일시 : 2021/08/12,답변완료
,,,,(처리중)
25256,도시ㆍ건축,공동주택관리 감사 결과 호도 시정요청,작성일시 : 2021/08/12,답변완료
,,,,(처리완료)
25247,건설ㆍ교통,불법주차 민원 접수합니다.,작성일시 : 2021/08/12,답변완료
,,,,(처리중)
25243,건설ㆍ교통,새벽에 시작되는 공사 소음,작성일시 : 2021/08/12,답변완료
,,,,(처리완료)
25237,기타,"민원인 땅이 건축물, 담도 없는 공터 부분인데 남에게 땅을 준다?",작성일시 : 2021/08/12,답변완료
,,,,(중장기시행)
25235,기타,지금 지적재조사 진행 중인 주민들이 봤으면...,작성일시 : 2021/08/12,
25234,건설ㆍ교통,광주 동구 지산휴먼시아 아파트 근처에 상시 불법주차 단속 카메라 설치를 부탁 드립니다.,작성일시 : 2021/08/11,답변완료
,,,,(처리중)
25228,보건ㆍ복지,경로당4,작성일시 : 2021/08/11,답변완료
,,,,(처리완료)
25221,환경ㆍ청소,소공원 청소와 관리 철저를 부탁드립니다. (2),작성일시 : 2021/08/11,답변완료
,,,,(처리중)
25220,기타,불법타이어관련문의드립니다. (1),작성일시 : 2021/08/11,답변완료
,,,,(처리완료)
25218,건설ㆍ교통,모기퇴치기 고장,작성일시 : 2021/08/11,답변완료
,,,,(처리완료)
25216,건설ㆍ교통,필문대로조대정문앞 사거리 동구청 방향 불법좌회전 차선 위반 단속요청,작성일시 : 2021/08/11,답변완료
,,,,(처리완료)
25206,환경ㆍ청소,하수관 파손 (1),작성일시 : 2021/08/11,답변완료
,,,,(처리중)
25205,미담사례,김유석 선생님. 감사합니다 (1),작성일시 : 2021/08/10,답변완료
,,,,(처리완료)
25204,건설ㆍ교통,가로등,작성일시 : 2021/08/10,답변완료
,,,,(처리완료)
25201,건설ㆍ교통,반사경 각도조정 (1),작성일시 : 2021/08/10,답변완료
,,,,(처리중)
25177,환경ㆍ청소,고도제한법을 무시한 아파트 건축허가 건,작성일시 : 2021/08/10,답변완료
,,,,(처리완료)
25176,도시ㆍ건축,도로 포장이 깨져서 요철이 심합니다.,작성일시 : 2021/08/10,답변완료
,,,,(처리중)
25174,환경ㆍ청소,금연구역 내 흡연으로 인한 화재 발생 금연 단속 요청,작성일시 : 2021/08/09,답변완료
,,,,(처리중)
25167,환경ㆍ청소,냉방기 실외기 소음,작성일시 : 2021/08/09,답변완료
,,,,(처리중)
25159,기타,방역수칙에 따른 작은도서관 사용금지 맞나요?,작성일시 : 2021/08/09,답변완료
,,,,(처리중)
25157,건설ㆍ교통,가로등 불이 꺼짐,작성일시 : 2021/08/09,답변완료
,,,,(처리완료)
25153,환경ㆍ청소,불편해요,작성일시 : 2021/08/08,답변완료
,,,,(처리완료)
25152,환경ㆍ청소,불편해요,작성일시 : 2021/08/08,답변완료
,,,,(처리완료)
25151,도시ㆍ건축,내 아파트계단 사용도 못하고 있습니다. 광신건설 손해배상하도록 조치해주십시요,작성일시 : 2021/08/08,답변완료
,,,,(처리중)
25150,환경ㆍ청소,애완동물 배설물 단속,작성일시 : 2021/08/08,답변완료
,,,,(처리중)
25149,도시ㆍ건축,새벽2시 공사소음 어떻게생각하세요?,작성일시 : 2021/08/08,답변완료
,,,,(처리완료)
25148,건설ㆍ교통,가로등 고장요,작성일시 : 2021/08/08,답변완료
,,,,(처리완료)
25146,건설ㆍ교통,주정차(구시청 주거지역 골목길),작성일시 : 2021/08/07,답변완료
,,,,(처리중)
25144,보건ㆍ복지,경로당3,작성일시 : 2021/08/07,답변완료
,,,,(처리완료)
25140,미담사례,구청 민원실앞 생수 감사합니다. (1),작성일시 : 2021/08/06,답변완료
,,,,(처리완료)
25137,건설ㆍ교통,오래된 불법주차 단속 요망 (1),작성일시 : 2021/08/06,답변완료
,,,,(처리완료)
25134,건설ㆍ교통,등하교길 불법주정차및 신호등 문제,작성일시 : 2021/08/06,답변완료
,,,,(처리중)
25132,도시ㆍ건축,골목길 옆 노후된 공가 지붕 구조물 낙하 위험,작성일시 : 2021/08/06,답변완료
,,,,(처리완료)
25130,건설ㆍ교통,주정차단속,작성일시 : 2021/08/06,답변완료
,,,,(처리중)
25129,건설ㆍ교통,동구 이래서 가기싫어요,작성일시 : 2021/08/06,답변완료
,,,,(처리중)
25127,환경ㆍ청소,가로등 미점등,작성일시 : 2021/08/06,답변완료
,,,,(처리완료)
25123,환경ㆍ청소,동명동 골목 쓰레기 조치문제,작성일시 : 2021/08/05,답변완료
,,,,(처리완료)
25115,기타,구청의 조속한 조취바랍니다,작성일시 : 2021/08/05,답변완료
,,,,(처리중)
25113,보건ㆍ복지,경로당2,작성일시 : 2021/08/05,답변완료
,,,,(처리완료)
25112,도시ㆍ건축,동구청장님께 묻습니다 직접해결해 주십시요 (3),작성일시 : 2021/08/05,답변완료
,,,,(처리완료)
25110,환경ㆍ청소,불편해요,작성일시 : 2021/08/05,답변완료
,,,,(처리완료)
25109,도시ㆍ건축,동대표자의 사임 (1),작성일시 : 2021/08/05,답변완료
,,,,(처리완료)
25108,환경ㆍ청소,불편해요,작성일시 : 2021/08/04,답변완료
,,,,(처리완료)
25107,건설ㆍ교통,감사합니다.,작성일시 : 2021/08/04,답변완료
,,,,(처리완료)
25106,환경ㆍ청소,고양이배변,작성일시 : 2021/08/04,답변완료
,,,,(중장기시행)
25100,환경ㆍ청소,비둘기모이를 줍니다,작성일시 : 2021/08/04,답변완료
,,,,(처리중)
25096,건설ㆍ교통,통행로 확보,작성일시 : 2021/08/04,답변완료
,,,,(처리중)
25093,건설ㆍ교통,학4 구역 주변 인도 잡초 (1),작성일시 : 2021/08/04,답변완료
,,,,(처리중)
25090,도시ㆍ건축,해체공사 진동,작성일시 : 2021/08/04,답변완료
,,,,(처리중)
25087,건설ㆍ교통,교통신호 위험 (1),작성일시 : 2021/08/04,답변완료
,,,,(처리완료)
25086,기타,임택 동구청장님에게 묻습니다.,작성일시 : 2021/08/03,답변완료
,,,,(처리중)
25080,도시ㆍ건축,지산동 한국아델리움 공사장 안전문제 (1),작성일시 : 2021/08/03,답변완료
,,,,(처리중)
25079,보건ㆍ복지,장애인 복지 관련!,작성일시 : 2021/08/03,답변완료
,,,,(처리중)
25077,도시ㆍ건축,154-45번지입니다.,작성일시 : 2021/08/03,답변완료
,,,,(처리중)
25067,도시ㆍ건축,광주광역시 동구 도시관리국 건축과의 직권남용 신고,작성일시 : 2021/08/03,답변완료
,,,,(처리중)
25062,도시ㆍ건축,지반침하 (1),작성일시 : 2021/08/02,답변완료
,,,,(처리완료)
25058,환경ㆍ청소,상가건물에 쓰레기와 알수없는 kt (?)박스 설치 (1),작성일시 : 2021/08/02,답변완료
,,,,(처리완료)
25049,공원ㆍ체육,아이들 신나는 주말체육학교 운영에 관해 문의드립니다.,작성일시 : 2021/08/02,답변완료
,,,,(처리완료)
25048,보건ㆍ복지,동명동 여기카페 식품 위생상태 신고,작성일시 : 2021/08/02,답변완료
,,,,(처리완료)
25047,환경ㆍ청소,불편해요,작성일시 : 2021/08/01,답변완료
,,,,(처리중)
25046,환경ㆍ청소,불편해요,작성일시 : 2021/08/01,답변완료
,,,,(처리중)
25045,미담사례,사람은 뒷모습이 아름다워야한다,작성일시 : 2021/08/01,
25044,건설ㆍ교통,제발 주말엔....,작성일시 : 2021/08/01,답변완료
,,,,(처리완료)
25043,도시ㆍ건축,상가건울내 비상통로 무단점용,작성일시 : 2021/07/31,답변완료
,,,,(처리완료)
25042,건설ㆍ교통,소음 신고,작성일시 : 2021/07/31,답변완료
,,,,(처리중)
25038,도시ㆍ건축,선관위 파행에 따른 조치 재요청,작성일시 : 2021/07/30,답변완료
,,,,(처리중)
25037,도시ㆍ건축,민원처리 기한은 며칠인가요?,작성일시 : 2021/07/30,답변완료
,,,,(처리완료)
25032,도시ㆍ건축,학동 산 157 - 1 산사태 두드림에 올린지 21일 지난 지금도 처리중,작성일시 : 2021/07/30,답변완료
,,,,(처리중)
25030,환경ㆍ청소,길고양이와의전쟁 (1),작성일시 : 2021/07/30,답변완료
,,,,(처리완료)
25029,환경ㆍ청소,오토바이 배기음 신고,작성일시 : 2021/07/30,답변완료
,,,,(처리완료)
25028,건설ㆍ교통,구청장에게고한다,작성일시 : 2021/07/29,답변완료
,,,,(처리완료)
25026,환경ㆍ청소,불편해요,작성일시 : 2021/07/29,답변완료
,,,,(처리완료)
25017,건설ㆍ교통,집앞 싱크홀 의심,작성일시 : 2021/07/29,답변완료
,,,,(처리완료)
25015,건설ㆍ교통,이른 아침 주차단속,작성일시 : 2021/07/29,답변완료
,,,,(처리중)
25012,환경ㆍ청소,선교 정자(보호수옆)쓰레기 (1),작성일시 : 2021/07/29,답변완료
,,,,(처리완료)
25009,건설ㆍ교통,오전 9시 공사 소음,작성일시 : 2021/07/29,답변완료
,,,,(처리완료)
25008,공원ㆍ체육,인도 에 물이차서 불편합니다,작성일시 : 2021/07/29,답변완료
,,,,(처리완료)
25007,기타,수사기관에서 답변 하신 거 해명 바랍니다 (3),작성일시 : 2021/07/29,답변완료
,,,,(처리완료)
25006,건설ㆍ교통,선교동 너릿재 옛길 입구 안내판 문구를 수정해 주세요 (1),작성일시 : 2021/07/29,답변완료
,,,,(처리중)
25005,기타,선교동 너릿제 옛길 올라가는 경사로 자전거 데크길을 설치해 주세요,작성일시 : 2021/07/29,답변완료
,,,,(처리중)
25004,건설ㆍ교통,과속방지턱설치 (1),작성일시 : 2021/07/28,답변완료
,,,,(처리완료)
24997,건설ㆍ교통,교차로 교통카메라 설치 검토 요청 (1),작성일시 : 2021/07/28,답변완료
,,,,(처리완료)
24996,건설ㆍ교통,폐차방치,작성일시 : 2021/07/28,답변완료
,,,,(처리중)
24995,건설ㆍ교통,공사중 소음과 매연이 너무 심합니다,작성일시 : 2021/07/28,답변완료
,,,,(처리중)
24990,공원ㆍ체육,농장다리 밑 피아노 소음,작성일시 : 2021/07/28,답변완료
,,,,(처리완료)
24989,기타,154-45번지 입니다.,작성일시 : 2021/07/28,답변완료
,,,,(처리완료)
24988,문화ㆍ경제,전일문화센터 프로그램.시간대,작성일시 : 2021/07/27,답변완료
,,,,(처리완료)
24987,기타,충장동 화이팅 입니다!! (3),작성일시 : 2021/07/27,답변완료
,,,,(처리완료)
24983,건설ㆍ교통,도로무단점거 오토바이 (1),작성일시 : 2021/07/27,답변완료
,,,,(처리완료)
24982,기타,기후환경과 거짓말 하네요? (1),작성일시 : 2021/07/27,답변완료
,,,,(처리중)
24979,환경ㆍ청소,수도계랑기보호통 파손 (1),작성일시 : 2021/07/27,답변완료
,,,,(처리중)
24976,건설ㆍ교통,계림초등학교후문학교안 보도블럭공사 (1),작성일시 : 2021/07/27,답변완료
,,,,(처리완료)
24974,건설ㆍ교통,"황금동 충장로 불법 노점상 평일,주말 단속 부탁 드립니다.",작성일시 : 2021/07/27,답변완료
,,,,(처리완료)
24973,도시ㆍ건축,입주민 기만한 광신건설 비상계단공사 공사기간연장 인정할 수 없습니다,작성일시 : 2021/07/27,답변완료
,,,,(처리중)
24971,도시ㆍ건축,건축물대장 명칭 기재 요청,작성일시 : 2021/07/27,답변완료
,,,,(처리중)
24969,문화ㆍ경제,동구청의 운영비 지원을 받는 동아리가 이러한 조건을 달아도 되는 걸까요?,작성일시 : 2021/07/27,답변완료
,,,,(처리완료)
24968,문화ㆍ경제,운영비가 지급되는 동아리에 이런 조건이 있는게 타당한가요?,작성일시 : 2021/07/26,답변완료
,,,,(처리완료)
24962,건설ㆍ교통,광주 동구 장동로 43-1 1 코너베이크샵 앞 도로 싱크홀 의심신고,작성일시 : 2021/07/26,답변완료
,,,,(처리완료)
24961,건설ㆍ교통,동명로 67번길 노상주차 건의,작성일시 : 2021/07/26,답변완료
,,,,(처리중)
24958,도시ㆍ건축,가로등 설치 요청,작성일시 : 2021/07/25,답변완료
,,,,(처리완료)
24957,미담사례,칭찬합니다,작성일시 : 2021/07/25,
24956,환경ㆍ청소,불편해요,작성일시 : 2021/07/25,답변완료
,,,,(처리완료)
24955,공원ㆍ체육,월남동 호반과 용산체육공원 중간쯤 되는 천변 산책길 (2),작성일시 : 2021/07/25,답변완료
,,,,(처리완료)
24954,환경ㆍ청소,불편해요,작성일시 : 2021/07/25,답변완료
,,,,(처리완료)
24953,건설ㆍ교통,내남동 진아리채 광주화순간 방음벽 설치 (2),작성일시 : 2021/07/25,답변완료
,,,,(처리중)
24952,건설ㆍ교통,지산동 한국아델리움 아파트 신축현장,작성일시 : 2021/07/24,답변완료
,,,,(처리중)
24951,기타,거짓말만 하는 6급 공무원 김윤호 주무관을 신고 합니다 (1),작성일시 : 2021/07/23,답변완료
,,,,(처리중)
24950,도시ㆍ건축,건축과는 언제까지 광신건설불법을 눈감을 예정인가요 (3),작성일시 : 2021/07/23,답변완료
,,,,(처리중)
24949,보건ㆍ복지,광신건설은 아파트를 위험에 빠뜨리고 있습니다,작성일시 : 2021/07/23,답변완료
,,,,(처리중)
24945,미담사례,형제 부모보다 더 고마운 사람 (2),작성일시 : 2021/07/23,답변완료
,,,,(처리완료)
24941,건설ㆍ교통,그랜드센트럴 아파트 쪽문 신호등설치 (1),작성일시 : 2021/07/23,답변완료
,,,,(처리중)
24940,보건ㆍ복지,계림3차-광주고 쪽 그늘쉼터 설치 해주세요,작성일시 : 2021/07/23,답변완료
,,,,(처리중)
24937,건설ㆍ교통,창역떡집 뒤 가로등 고장 (1),작성일시 : 2021/07/23,답변완료
,,,,(처리완료)
24935,건설ㆍ교통,불법입간판 통향불편 한번 요청하엿으나 조치가 이뤄지지안음,작성일시 : 2021/07/23,답변완료
,,,,(처리완료)
24934,도시ㆍ건축,어처구니 없는 질문,작성일시 : 2021/07/22,답변완료
,,,,(처리완료)
24933,환경ㆍ청소,소음,작성일시 : 2021/07/22,답변완료
,,,,(처리완료)
24926,도시ㆍ건축,옥외간판이 이렇게도 허가가납니까?,작성일시 : 2021/07/22,답변완료
,,,,(처리중)
24921,환경ㆍ청소,하수구 냄새가 심하게 납니다,작성일시 : 2021/07/22,답변완료
,,,,(처리완료)
24918,기타,정화조 불법 설치에 대한 답변 바랍니다,작성일시 : 2021/07/22,답변완료
,,,,(처리중)
24910,건설ㆍ교통,학동4구역 현장 전체 CCTV 설치24871,작성일시 : 2021/07/22,답변완료
,,,,(처리완료)
24907,보건ㆍ복지,식당 위생 신고,작성일시 : 2021/07/22,답변완료
,,,,(처리완료)
24906,공원ㆍ체육,동구 용산생활체육공원 축구장,작성일시 : 2021/07/21,답변완료
,,,,(처리완료)
24904,환경ㆍ청소,광주천으로 흐르는 하수구에서 악취가 심합니다,작성일시 : 2021/07/21,답변완료
,,,,(처리완료)
24897,도시ㆍ건축,코로나 2단계입니다. 광신건설 이런공사행태 말이됩니까,작성일시 : 2021/07/21,답변완료
,,,,(처리중)
24896,건설ㆍ교통,어린이보호구역 불법주차,작성일시 : 2021/07/21,답변완료
,,,,(처리완료)
24885,공원ㆍ체육,동구청이 앞장서 푸른길을 훼손해도 되나요? (4),작성일시 : 2021/07/21,답변완료
,,,,(처리중)
24884,도시ㆍ건축,매우 위험한 불법 건축물 신고 및 지도부탁요,작성일시 : 2021/07/21,답변완료
,,,,(처리완료)
24883,환경ㆍ청소,버스 승강장 대기실 공사,작성일시 : 2021/07/21,답변완료
,,,,(처리완료)
24880,건설ㆍ교통,동명로14번길 오아시타호스텔 이용객의 불법주차 단속요청,작성일시 : 2021/07/21,답변완료
,,,,(처리완료)
24878,환경ㆍ청소,소음,작성일시 : 2021/07/20,답변완료
,,,,(처리중)
24876,환경ㆍ청소,소음,작성일시 : 2021/07/20,답변완료
,,,,(처리중)
24875,공원ㆍ체육,"푸른길에서 애완견 입막음 의무화 조치 , 애완견 입막음 안내 표지판 설치 및 CCTV 설치 요망 (6)",작성일시 : 2021/07/20,답변완료
,,,,(처리중)
24874,도시ㆍ건축,건축물표시 변경 신청 처리 요청,작성일시 : 2021/07/20,답변완료
,,,,(처리완료)
24871,도시ㆍ건축,학동4구역 현장 전체 CCTV 설치,작성일시 : 2021/07/20,답변완료
,,,,(처리완료)
24869,환경ㆍ청소,에어컨 냉각수,작성일시 : 2021/07/20,답변완료
,,,,(처리완료)
24868,도시ㆍ건축,선관위 소집 운영 파행,작성일시 : 2021/07/20,답변완료
,,,,(처리완료)
24865,건설ㆍ교통,심야시간 배달오토바이 소음 문의드립니다.,작성일시 : 2021/07/20,답변완료
,,,,(처리중)
24864,건설ㆍ교통,배달 오토바이 배기소음 좀 단속해주세요.,작성일시 : 2021/07/20,답변완료
,,,,(처리중)
24863,기타,지적재조사가 이렇게 무서운 사업입니다 (7),작성일시 : 2021/07/19,답변완료
,,,,(중장기시행)
24862,도시ㆍ건축,동명동 154-45번지 입니다.,작성일시 : 2021/07/19,답변완료
,,,,(처리완료)
24861,기타,사업 강제로 밀고 나가네요? (1),작성일시 : 2021/07/19,답변완료
,,,,(중장기시행)
24860,환경ㆍ청소,계림동 캣맘으로인한 고양이 배설물처리 (3),작성일시 : 2021/07/19,답변완료
,,,,(중장기시행)
24853,건설ㆍ교통,불법점유물,작성일시 : 2021/07/19,답변완료
,,,,(처리중)
24851,도시ㆍ건축,계림2구역 재개발 먼지관련,작성일시 : 2021/07/19,답변완료
,,,,(처리중)
24850,도시ㆍ건축,입대의 회의 개최 부당,작성일시 : 2021/07/19,답변완료
,,,,(처리완료)
24845,건설ㆍ교통,동명로 67번길 주차 단속,작성일시 : 2021/07/19,답변완료
,,,,(처리중)
24841,건설ㆍ교통,충장로 불법 노점상 단속 부탁 드립니다.,작성일시 : 2021/07/19,답변완료
,,,,(처리중)
24840,미담사례,삼계탕,작성일시 : 2021/07/19,
24838,기타,"정화조 비위생관리, 불법 신고합니다",작성일시 : 2021/07/19,답변완료
,,,,(처리중)
24835,미담사례,이분 승진시켜주세요~ (1),작성일시 : 2021/07/19,답변완료
,,,,(처리완료)
24833,환경ㆍ청소,생활환경 관련입니다.,작성일시 : 2021/07/19,답변완료
,,,,(처리완료)
