가상번호,분류,제목,등록일자,처리상태
26715,건설ㆍ교통,조대후문 살레시오여고 옆 위험합니다.,작성일시 : 2021/11/18,답변완료
,,,,(처리중)
26712,도시ㆍ건축,주차장 영업,작성일시 : 2021/11/18,접수
26685,기타,맨홀뚜껑덜컹거림,작성일시 : 2021/11/18,답변완료
,,,,(처리완료)
26684,기타,가로등 고장요,작성일시 : 2021/11/17,답변완료
,,,,(처리완료)
26683,건설ㆍ교통,퇴근시간때 월남동쪽 순환입구 교통정리 해주세요,작성일시 : 2021/11/17,답변완료
,,,,(처리완료)
26681,건설ㆍ교통,지산동 조대후문 오토바이 매우 위험합니다.,작성일시 : 2021/11/17,답변완료
,,,,(처리완료)
26678,기타,지산동 원룸근처 개짖는 소리로 인한 소음,작성일시 : 2021/11/17,답변완료
,,,,(처리완료)
26676,건설ㆍ교통,지산동 조대후문 오토바이들 너무 위험합니다.,작성일시 : 2021/11/17,답변완료
,,,,(처리완료)
26675,환경ㆍ청소,돌출간판이 위험 합니다,작성일시 : 2021/11/17,답변완료
,,,,(처리완료)
26663,도시ㆍ건축,감사지적 이행사항 확인요망,작성일시 : 2021/11/16,답변완료
,,,,(처리완료)
26661,환경ㆍ청소,지산2동정류장일대 모기떼피해,작성일시 : 2021/11/16,답변완료
,,,,(처리완료)
26660,도시ㆍ건축,1가구 다차량 주차에 따른 수익,작성일시 : 2021/11/16,답변완료
,,,,(처리완료)
26659,도시ㆍ건축,주차장,작성일시 : 2021/11/16,답변완료
,,,,(처리완료)
26658,기타,행단보도 입구 바닥 보수좀 해주세용,작성일시 : 2021/11/16,답변완료
,,,,(처리완료)
26654,건설ㆍ교통,삼총사 부동산과 해드림 부동산 이면도로 황색 주차선,작성일시 : 2021/11/16,답변완료
,,,,(처리완료)
26652,도시ㆍ건축,주변 건물 리모델링 시 소음 및 분진 문제 계도 요청 건,작성일시 : 2021/11/16,답변완료
,,,,(처리완료)
26651,건설ㆍ교통,동명동10통 9통공용주차장마련 시급,작성일시 : 2021/11/16,답변완료
,,,,(중장기시행)
26647,환경ㆍ청소,지산2동 로타리사거리 깔따구,작성일시 : 2021/11/15,답변완료
,,,,(처리완료)
26646,보건ㆍ복지,담당 공무원의 잘못된 안내로 인한 행정 오류 시정 요,작성일시 : 2021/11/15,답변완료
,,,,(처리중)
26642,건설ㆍ교통,당 아파트 정문 교통섬 안전시설물 설치 요망,작성일시 : 2021/11/15,답변완료
,,,,(처리완료)
26637,건설ㆍ교통,동명동 거리 주차민원,작성일시 : 2021/11/15,답변완료
,,,,(처리완료)
26636,건설ㆍ교통,동명동 카페거리 도로정비공사 목적,작성일시 : 2021/11/14,답변완료
,,,,(처리완료)
26635,도시ㆍ건축,건축과 이현승님께 요청합니다.,작성일시 : 2021/11/14,답변완료
,,,,(처리완료)
26634,환경ㆍ청소,소음,작성일시 : 2021/11/13,답변완료
,,,,(처리완료)
26629,환경ㆍ청소,산책로의 물고임,작성일시 : 2021/11/12,답변완료
,,,,(처리완료)
26628,환경ㆍ청소,선교동 쓰레기방치,작성일시 : 2021/11/12,답변완료
,,,,(처리완료)
26615,도시ㆍ건축,프랑카드 불법,작성일시 : 2021/11/11,답변완료
,,,,(처리완료)
26614,건설ㆍ교통,인도 없는 도로변 출구,작성일시 : 2021/11/11,접수
26613,도시ㆍ건축,불법건축물 의심,작성일시 : 2021/11/11,답변완료
,,,,(처리완료)
26596,도시ㆍ건축,정확한 판단을 요청합니다,작성일시 : 2021/11/11,답변완료
,,,,(처리완료)
26593,건설ㆍ교통,예술의거리 주차장과단속에관한,작성일시 : 2021/11/10,답변완료
,,,,(처리완료)
26592,건설ㆍ교통,산수2동 재개발,작성일시 : 2021/11/10,답변완료
,,,,(처리완료)
26591,건설ㆍ교통,어린이보호구역내 주정차,작성일시 : 2021/11/10,답변완료
,,,,(처리완료)
26581,건설ㆍ교통,주정차 단속,작성일시 : 2021/11/10,답변완료
,,,,(처리완료)
26576,미담사례,오래도록보고싶은사람,작성일시 : 2021/11/10,답변완료
,,,,(처리완료)
26575,건설ㆍ교통,월남동호반1차 와이미트앞 주차건,작성일시 : 2021/11/10,답변완료
,,,,(처리완료)
26564,건설ㆍ교통,보도블럭 공사 왜? 합니까?? 주차를 더 안전하게 하기 위해서.......,작성일시 : 2021/11/09,답변완료
,,,,(처리완료)
26563,도시ㆍ건축,리모델링중 도로변 출입구 적법여부,작성일시 : 2021/11/09,접수
26562,도시ㆍ건축,프랑카드 불법유무 ?,작성일시 : 2021/11/09,답변완료
,,,,(처리완료)
26559,건설ㆍ교통,인도 침범한 공사가설 가림막,작성일시 : 2021/11/09,답변완료
,,,,(처리완료)
26557,기타,자가격리생활지원금,작성일시 : 2021/11/09,답변완료
,,,,(처리완료)
26556,기타,동구 유치원 부족합니다 (1),작성일시 : 2021/11/09,답변완료
,,,,(처리완료)
26555,기타,건축과 이현승님. 하나 더요.,작성일시 : 2021/11/09,답변완료
,,,,(처리완료)
26554,기타,건축과 이현승님 답변이 너무 느리네요,작성일시 : 2021/11/09,답변완료
,,,,(처리완료)
26552,건설ㆍ교통,남광주시장 천변우로 1차선 주차차량때문에 사고날뻔했습니다.,작성일시 : 2021/11/09,답변완료
,,,,(처리완료)
26549,환경ㆍ청소,소음,작성일시 : 2021/11/08,답변완료
,,,,(처리완료)
26548,건설ㆍ교통,보안등 수리,작성일시 : 2021/11/08,답변완료
,,,,(처리완료)
26547,건설ㆍ교통,택시 정거장 재단장 요청 (1),작성일시 : 2021/11/08,답변완료
,,,,(처리중)
26543,건설ㆍ교통,정말 지칩니다 불법주정차,작성일시 : 2021/11/08,답변완료
,,,,(처리완료)
26541,건설ㆍ교통,통행불편 해결부탁합니다,작성일시 : 2021/11/08,답변완료
,,,,(처리완료)
26539,기타,주민등록표정정요청입니다. (수정 후 재등록),작성일시 : 2021/11/08,답변완료
,,,,(처리완료)
26537,건설ㆍ교통,누구를 위한 보도환경공사인가???,작성일시 : 2021/11/08,답변완료
,,,,(처리완료)
26536,공원ㆍ체육,광주 동구문화센터 배드민턴장 빨리 개방하세요,작성일시 : 2021/11/08,답변완료
,,,,(처리중)
26531,환경ㆍ청소,불법 폐기물 투기자 신고합니다,작성일시 : 2021/11/08,답변완료
,,,,(처리완료)
26529,건설ㆍ교통,보행도로,작성일시 : 2021/11/07,답변완료
,,,,(처리완료)
26528,건설ㆍ교통,가로등 고장,작성일시 : 2021/11/07,답변완료
,,,,(처리완료)
26527,환경ㆍ청소,소음,작성일시 : 2021/11/07,답변완료
,,,,(처리완료)
26526,환경ㆍ청소,북극곰의 하소연,작성일시 : 2021/11/07,답변완료
,,,,(처리완료)
26525,환경ㆍ청소,소음,작성일시 : 2021/11/06,답변완료
,,,,(처리완료)
26522,건설ㆍ교통,계림동 상습 사고구간 !!!,작성일시 : 2021/11/06,답변완료
,,,,(처리중)
26520,환경ㆍ청소,K-POP거리 관리,작성일시 : 2021/11/05,답변완료
,,,,(처리완료)
26514,건설ㆍ교통,산수동 재개발,작성일시 : 2021/11/05,답변완료
,,,,(처리완료)
26511,건설ㆍ교통,산수동해광맨션 언덕길 불법주차 및 주정차 금지 선 보수,작성일시 : 2021/11/05,답변완료
,,,,(처리완료)
26509,건설ㆍ교통,주정차단속,작성일시 : 2021/11/05,답변완료
,,,,(처리완료)
26508,건설ㆍ교통,금남로 5가역 사거리 주차단속 요청,작성일시 : 2021/11/05,답변완료
,,,,(처리완료)
26507,공원ㆍ체육,동구 문화센터 배드민턴장 이용?,작성일시 : 2021/11/05,답변완료
,,,,(처리중)
26504,도시ㆍ건축,의원나리들은 뭣헌가 몰라잉!,작성일시 : 2021/11/05,답변완료
,,,,(처리완료)
26503,환경ㆍ청소,요소수문제 동구는 괜찮은가요,작성일시 : 2021/11/05,답변완료
,,,,(처리완료)
26502,기타,불법노점상 및 불법 점유물,작성일시 : 2021/11/04,답변완료
,,,,(처리완료)
26501,건설ㆍ교통,보안등· 해중퇴치기 고장,작성일시 : 2021/11/04,답변완료
,,,,(처리완료)
26500,도시ㆍ건축,이제 지칩니다.,작성일시 : 2021/11/04,답변완료
,,,,(처리완료)
26485,도시ㆍ건축,계림동 주민센터 건설에 관하여,작성일시 : 2021/11/04,답변완료
,,,,(처리완료)
26483,도시ㆍ건축,앞서 시민분이 계림2동행정복지센터 공사장 벽과 추가로 공사장 출입구에 관련해 민원남깁니다,작성일시 : 2021/11/03,답변완료
,,,,(처리완료)
