분류,제목,날짜_월,날짜_일
환경청소,불편해요,8,13
환경청소,아파트에서 소음이 심해요,8,13
건설교통,계단 앞쪽 도로가 옆 인도 포장,8,13
도시건축,보안등 수리요청,8,13
환경청소,불편해요,8,13
환경청소,계림두산차상가앞,8,13
도시건축,구청장님께다시한번부탁드립니다,8,13
미담사례,서해동주민안전담당관님 칭찬합니다 ,8,13
환경청소,불편해요,8,12
환경청소,불편해요,8,12
환경청소,유기견 구조,8,12
건설교통,용산동 이디야쪽 울타리 항의 ,8,12
도시건축,공동주택관리 감사 결과 호도 시정요청,8,12
건설교통,불법주차 민원 접수합니다,8,12
건설교통,새벽에 시작되는 공사 소음,8,12
기타,민원인 땅이 건축물 담도 없는 공터 부분인데 남에게 땅을 준다,8,12
기타,지금 지적재조사 진행 중인 주민들이 봤으면,8,12
건설교통,광주 동구 지산휴먼시아 아파트 근처에 상시 불법주차 단속 카메라 설치를 부탁 드립니다,8,11
보건복지,경로당,8,11
환경청소,소공원 청소와 관리 철저를 부탁드립니다 ,8,11
기타,불법타이어관련문의드립니다 ,8,11
건설교통,모기퇴치기 고장,8,11
건설교통,필문대로조대정문앞 사거리 동구청 방향 불법좌회전 차선 위반 단속요청,8,11
환경청소,하수관 파손 ,8,11
미담사례,김유석 선생님 감사합니다 ,8,10
건설교통,가로등,8,10
건설교통,반사경 각도조정 ,8,10
환경청소,고도제한법을 무시한 아파트 건축허가 건,8,10
도시건축,도로 포장이 깨져서 요철이 심합니다,8,10
환경청소,금연구역 내 흡연으로 인한 화재 발생 금연 단속 요청,8,9
환경청소,냉방기 실외기 소음,8,9
기타,방역수칙에 따른 작은도서관 사용금지 맞나요,8,9
건설교통,가로등 불이 꺼짐,8,9
환경청소,불편해요,8,8
환경청소,불편해요,8,8
도시건축,내 아파트계단 사용도 못하고 있습니다 광신건설 손해배상하도록 조치해주십시요,8,8
환경청소,애완동물 배설물 단속,8,8
도시건축,새벽시 공사소음 어떻게생각하세요,8,8
건설교통,가로등 고장요,8,8
건설교통,주정차구시청 주거지역 골목길,8,7
보건복지,경로당,8,7
미담사례,구청 민원실앞 생수 감사합니다 ,8,6
건설교통,오래된 불법주차 단속 요망 ,8,6
건설교통,등하교길 불법주정차및 신호등 문제,8,6
도시건축,골목길 옆 노후된 공가 지붕 구조물 낙하 위험,8,6
건설교통,주정차단속,8,6
건설교통,동구 이래서 가기싫어요,8,6
환경청소,가로등 미점등,8,6
환경청소,동명동 골목 쓰레기 조치문제,8,5
기타,구청의 조속한 조취바랍니다,8,5
보건복지,경로당,8,5
도시건축,동구청장님께 묻습니다 직접해결해 주십시요 ,8,5
환경청소,불편해요,8,5
도시건축,동대표자의 사임 ,8,5
환경청소,불편해요,8,4
건설교통,감사합니다,8,4
환경청소,고양이배변,8,4
환경청소,비둘기모이를 줍니다,8,4
건설교통,통행로 확보,8,4
건설교통,학 구역 주변 인도 잡초 ,8,4
도시건축,해체공사 진동,8,4
건설교통,교통신호 위험 ,8,4
기타,임택 동구청장님에게 묻습니다,8,3
도시건축,지산동 한국아델리움 공사장 안전문제 ,8,3
보건복지,장애인 복지 관련,8,3
도시건축,번지입니다,8,3
도시건축,광주광역시 동구 도시관리국 건축과의 직권남용 신고,8,3
도시건축,지반침하 ,8,2
환경청소,상가건물에 쓰레기와 알수없는  박스 설치 ,8,2
공원체육,아이들 신나는 주말체육학교 운영에 관해 문의드립니다,8,2
보건복지,동명동 여기카페 식품 위생상태 신고,8,2
환경청소,불편해요,8,1
환경청소,불편해요,8,1
미담사례,사람은 뒷모습이 아름다워야한다,8,1
건설교통,제발 주말엔,8,1
도시건축,상가건울내 비상통로 무단점용,7,31
건설교통,소음 신고,7,31
도시건축,선관위 파행에 따른 조치 재요청,7,30
도시건축,민원처리 기한은 며칠인가요,7,30
도시건축,학동 산    산사태 두드림에 올린지 일 지난 지금도 처리중,7,30
환경청소,길고양이와의전쟁 ,7,30
환경청소,오토바이 배기음 신고,7,30
건설교통,구청장에게고한다,7,29
환경청소,불편해요,7,29
건설교통,집앞 싱크홀 의심,7,29
건설교통,이른 아침 주차단속,7,29
환경청소,선교 정자보호수옆쓰레기 ,7,29
건설교통,오전 시 공사 소음,7,29
공원체육,인도 에 물이차서 불편합니다,7,29
기타,수사기관에서 답변 하신 거 해명 바랍니다 ,7,29
건설교통,선교동 너릿재 옛길 입구 안내판 문구를 수정해 주세요 ,7,29
기타,선교동 너릿제 옛길 올라가는 경사로 자전거 데크길을 설치해 주세요,7,29
건설교통,과속방지턱설치 ,7,28
건설교통,교차로 교통카메라 설치 검토 요청 ,7,28
건설교통,폐차방치,7,28
건설교통,공사중 소음과 매연이 너무 심합니다,7,28
공원체육,농장다리 밑 피아노 소음,7,28
기타,번지 입니다,7,28
문화경제,전일문화센터 프로그램시간대,7,27
기타,충장동 화이팅 입니다 ,7,27
건설교통,도로무단점거 오토바이 ,7,27
기타,기후환경과 거짓말 하네요 ,7,27
환경청소,수도계랑기보호통 파손 ,7,27
건설교통,계림초등학교후문학교안 보도블럭공사 ,7,27
건설교통,황금동 충장로 불법 노점상 평일주말 단속 부탁 드립니다,7,27
도시건축,입주민 기만한 광신건설 비상계단공사 공사기간연장 인정할 수 없습니다,7,27
도시건축,건축물대장 명칭 기재 요청,7,27
문화경제,동구청의 운영비 지원을 받는 동아리가 이러한 조건을 달아도 되는 걸까요,7,27
문화경제,운영비가 지급되는 동아리에 이런 조건이 있는게 타당한가요,7,26
건설교통,광주 동구 장동로   코너베이크샵 앞 도로 싱크홀 의심신고,7,26
건설교통,동명로 번길 노상주차 건의,7,26
도시건축,가로등 설치 요청,7,25
미담사례,칭찬합니다,7,25
환경청소,불편해요,7,25
공원체육,월남동 호반과 용산체육공원 중간쯤 되는 천변 산책길 ,7,25
환경청소,불편해요,7,25
건설교통,내남동 진아리채 광주화순간 방음벽 설치 ,7,25
건설교통,지산동 한국아델리움 아파트 신축현장,7,24
기타,거짓말만 하는 급 공무원 김윤호 주무관을 신고 합니다 ,7,23
도시건축,건축과는 언제까지 광신건설불법을 눈감을 예정인가요 ,7,23
보건복지,광신건설은 아파트를 위험에 빠뜨리고 있습니다,7,23
미담사례,형제 부모보다 더 고마운 사람 ,7,23
건설교통,그랜드센트럴 아파트 쪽문 신호등설치 ,7,23
보건복지,계림차광주고 쪽 그늘쉼터 설치 해주세요,7,23
건설교통,창역떡집 뒤 가로등 고장 ,7,23
건설교통,불법입간판 통향불편 한번 요청하엿으나 조치가 이뤄지지안음,7,23
도시건축,어처구니 없는 질문,7,22
환경청소,소음,7,22
도시건축,옥외간판이 이렇게도 허가가납니까,7,22
환경청소,하수구 냄새가 심하게 납니다,7,22
기타,정화조 불법 설치에 대한 답변 바랍니다,7,22
건설교통,학동구역 현장 전체  설치,7,22
보건복지,식당 위생 신고,7,22
공원체육,동구 용산생활체육공원 축구장,7,21
환경청소,광주천으로 흐르는 하수구에서 악취가 심합니다,7,21
도시건축,코로나 단계입니다 광신건설 이런공사행태 말이됩니까,7,21
건설교통,어린이보호구역 불법주차,7,21
공원체육,동구청이 앞장서 푸른길을 훼손해도 되나요 ,7,21
도시건축,매우 위험한 불법 건축물 신고 및 지도부탁요,7,21
환경청소,버스 승강장 대기실 공사,7,21
건설교통,동명로번길 오아시타호스텔 이용객의 불법주차 단속요청,7,21
환경청소,소음,7,20
환경청소,소음,7,20
공원체육,푸른길에서 애완견 입막음 의무화 조치  애완견 입막음 안내 표지판 설치 및  설치 요망 ,7,20
도시건축,건축물표시 변경 신청 처리 요청,7,20
도시건축,학동구역 현장 전체  설치,7,20
환경청소,에어컨 냉각수,7,20
도시건축,선관위 소집 운영 파행,7,20
건설교통,심야시간 배달오토바이 소음 문의드립니다,7,20
건설교통,배달 오토바이 배기소음 좀 단속해주세요,7,20
기타,지적재조사가 이렇게 무서운 사업입니다 ,7,19
도시건축,동명동 번지 입니다,7,19
기타,사업 강제로 밀고 나가네요 ,7,19
환경청소,계림동 캣맘으로인한 고양이 배설물처리 ,7,19
건설교통,불법점유물,7,19
도시건축,계림구역 재개발 먼지관련,7,19
도시건축,입대의 회의 개최 부당,7,19
건설교통,동명로 번길 주차 단속,7,19
건설교통,충장로 불법 노점상 단속 부탁 드립니다,7,19
미담사례,삼계탕,7,19
기타,정화조 비위생관리 불법 신고합니다,7,19
미담사례,이분 승진시켜주세요 ,7,19
환경청소,생활환경 관련입니다,7,19
건설교통,이른아침 공사장소음 ,7,19
건설교통,오토바이소음관련,7,19
환경청소,소음,7,18
보건복지,마스크미착용 단속요망 ,7,17
기타,업주 마스크미착용신고,7,17
도시건축,문의합니다,7,17
도시건축,입대의 비대면 회의 부당 ,7,17
환경청소,마트 실외기 소음,7,17
보건복지,시 이후 홀영업금지이지만 ,7,17
도시건축,입대의 파행 지도 요청,7,16
환경청소,생쌀 버릴경우,7,16
기타,어린이 보호구역에서,7,16
환경청소,소음 문제 해결 바랍니다,7,16
공원체육,스피커  ,7,16
환경청소,소음 좀 어떻게 해주세요,7,16
기타,국유지 무단점유 신고합니다 ,7,16
도시건축,산수동 광신프로그레스 땅이 맞습니까,7,16
기타,번지입니다 왜 내 민원엔 답변이 없나요,7,16
도시건축,선관위 소집공고,7,15
보건복지,식당위생,7,15
도시건축,백서로 보행자 도로개선 완료된게 이건가요,7,15
공원체육,푸른마을 공동체다목적실 사용 ,7,14
건설교통,꼬리물기 단속 부탁드립니다 ,7,14
건설교통,주민우선주차장 및 도로 불법점유물,7,14
건설교통,불법주차,7,14
기타,지적재조사 민원  ,7,14
기타,지적재조사 민원 ,7,14
건설교통,동명로번길 불법주차 단속 요청 ,7,14
도시건축,인도적치물로인한통행장애,7,14
공원체육,민주광장 분수대 주변 화분 사고처리는 언제쯤,7,14
건설교통,표지판 제보,7,13
문화경제,쓰레기봉투 판매점,7,13
도시건축,우천시 옹벽 위 토사흘러내림,7,13
기타,마트 소음,7,13
건설교통,불법주차로 힘듭니다,7,13
건설교통,웨딩의 거리 주차요금,7,13
환경청소,소음,7,13
환경청소,음식물 분리수거통 파손하는 직원 책임요망,7,12
환경청소,쓰레기처리 민원 ,7,12
건설교통,민간주차장 민원처리 불친절,7,12
도시건축,종일 지속되는 소음,7,12
환경청소,마트소음,7,11
공원체육,체육공원 내 마스크 미착용 문제,7,11
보건복지,충장로 골목 흡연쓰레기불법 투기 ,7,11
환경청소,차도에 있는 로드킬 사체처리 요청,7,11
건설교통,횡단보도 설치 부탁드립니다 ,7,10
공원체육,푸른길 자전거 보관대 관리 ,7,10
기타,남의 땅을 자꾸 건드려고 합니다,7,10
건설교통,산수시장 입구 대각선 주차 ,7,10
건설교통,현황도로 단독점유  차도 불법점유 ,7,10
기타,지적과는 핑계 대기 바쁘네요 ,7,10
기타,보란등 점멸 조치,7,10
건설교통,불법 주정차 단속 바랍니다,7,9
환경청소,체육관입구앞에 벤치,7,9
문화경제,현재 공모중인 사업을 엄정 지휘하여 주시길 바랍니다,7,9
건설교통,불법주정차 단속부탁드립니다,7,8
건설교통,충장로 명동약국 모퉁이 화분 및 간판 설치,7,8
환경청소,너릿재 유아숲놀이터 관리,7,8
도시건축,걸어가다가 다리 골절 당했습니다,7,8
도시건축,선거관리위원회 파해에 따른 조치요청,7,8
공원체육,무등산 산책로 난리났네 난리났어,7,8
도시건축,산 산사태 비가 내리면 천막 위로 흘러가야 할 빗물이 천막 밑으로 ,7,8
건설교통,학동 붕괴비리사건 규명,7,8
환경청소,소음,7,8
기타,꼬리에 꼬리를 무는 그날 이야기,7,8
환경청소,불법으로 남의 집 담장에 쓰레기폐기하는분 신고합니다 반드시 척결해주세요,7,7
도시건축,토사,7,7
건설교통,주차거울 설치,7,7
도시건축,동명동 번지입니다 우리집에 무단건축물이 어디있습니까,7,7
도시건축,건축허가를 받고 산을 깍은 후 방치된 산에서 비만 오면 흙탕물이 도로변으로,7,7
도시건축,심각하게 위험하네요,7,7
문화경제,일자리공유카페 타지역일자리를 광주광역시와 타지역으로 구분 게시 부탁드립니다,7,7
도시건축,이 건물 위법 건물 아닌가요,7,6
기타,법무감사관에 요청 드립니다 ,7,6
건설교통,주민에게 불편을끼치는 물건적재 ,7,6
도시건축,불법건축물 신고합니다,7,6
문화경제,문화전당 야간경관사업 공정하게 진행해주세요,7,6
기타,지적과는 왜 있는 건가요,7,6
건설교통,금남로가역 출구 물벼락 ,7,6
도시건축,위험합니다,7,6
도시건축,광신프로그레스 조경준공 허가해서는 안됩니다,7,6
기타,아시나요 ,7,6
도시건축,건물주가 폐기물을 방치하고 있습니다,7,5
건설교통,일방로 주차문제,7,5
환경청소,길고양이 배설물로 인한 피해 신고,7,5
환경청소,가로등 ,7,5
보건복지,거꾸로 가는 정책동구 문화센터 다자녀 할인혜택 폐지라니 ,7,5
건설교통,광주광역시 동구 충장로  명동약국,7,5
환경청소,계림동 길고양이 똥,7,5
도시건축,에어컨 실외기 단속이 왜 안되나요,7,5
건설교통,대로도로 노면 불량위험합니다 ,7,5
환경청소,길고양이 때문에 살수가 없네요,7,5
건설교통,의재로 번길 소방도로 불법주차 금지 및 거주자 우선 주차표시,7,5
도시건축,백서로 보행자 불편 개선요청 ,7,4
환경청소,나뭇잎이 떨어져서 주변이 더러워지고 있어요 ,7,4
기타,지적재조사 민원 ,7,4
건설교통,휠 및 타이어 손상에 대한 수리비용원 입금 요청,7,4
건설교통,푸른길분수공원 노점단속 부탁드립니다,7,3
보건복지,계림동 복합행정복지센터건립해주세요,7,3
기타,남광주주차장은 누구을 위한,7,3
기타,남광주시장 광장주차장은 누구을 위한 주차장,7,3
건설교통,법원앞 택시 승강장 표지판 정비 ,7,3
건설교통,공사차량 자주 지나다녀서 도로 금이가서 도로포장요청,7,3
공원체육,다목적체육관 시설 보강 요,7,2
기타,지적과는 정신 차리세요,7,2
도시건축,옆에 대형건설현장 때문에 건물에 균열이 가고 유리창도 깨지고 너무 무섭습니다 현장확인 후 조치바랍니다,7,2
건설교통,학동구역 붕괴사고 ,7,2
도시건축,학동구역 사고 ,7,2
도시건축,학동 공공편의시설 부족 ,7,2
공원체육,푸른길공원산책로 관련 불편사항입니다,7,1
건설교통,몇번 민원넣었다가 그간 바빠서 잊고 있다가 다시금 민원넣습니다 ,7,1
미담사례,기획예산실 신은희 주임님을 칭찬합니다 ,7,1
공원체육,풀벅,7,1
도시건축,표시판 보수 철거요청,7,1
도시건축,불법건축물신고합니다,7,1
도시건축,관리주체 문서 공개 업무처리 부당,7,1
기타,편의점 내 음주 신고,7,1
기타,지적재조사 민원 ,7,1
도시건축,불법건축물신고합니다,7,1
환경청소,건축폐기물 방치 신고합니다,7,1
도시건축,현승님,7,1
도시건축,산수동한국건설 나무벌목,7,1
도시건축,학동붕괴사고,7,1
건설교통,도로반사경 설치 왜 안해주시나요,7,1
기타,버려진 포크레인 신고합니다,7,1
건설교통,푸른길 두산위브 차아파트 앞 도로 침하문제 해결바랍니다,7,1
기타,위생과 직원 민원인과 스피커폰 통화 ,7,1
기타,현장 오신다니까 하는 말인데,6,30
환경청소,길거리 흡연구역,6,30
도시건축,학동 붕괴 사고,6,30
건설교통,불법주정차,6,30
건설교통,공영주차장 카드결제,6,30
환경청소,답변부탁드려요 ,6,30
건설교통,통행불편 ,6,30
도시건축,광신건설 측의 발전기 사용으로 인한 소음 및 냄새,6,30
환경청소,도로청소,6,30
기타,지하철 공사먼지가림막과 방음부스 설치 부탁 ,6,29
건설교통,산수동 도로공사에 대해,6,29
환경청소,골목길 청소 요청 및 출입금지 조치 요청,6,29
도시건축,학동참사,6,29
도시건축,학동 붕괴 참상,6,29
도시건축,학동구역에 대해서,6,29
기타,민원인 이름을 거론하며 댓글 단 공무원 정신 차리세요,6,29
도시건축,학동참사에대해서,6,29
도시건축,학동구역 붕괴사고에 대해서,6,29
도시건축,학동구역 붕괴사고에 대해서,6,29
도시건축,입주 초 준공 안된 아파트에 입주시킨 동구청,6,28
도시건축,학동구역과 동구청에 바람,6,28
도시건축,학동 구역 붕괴책임,6,28
기타,지적재조사 민원,6,28
도시건축,동구청장님께 올립니다,6,28
건설교통,지산유원지 공용주차장에 전기차충전시설 만들어주시면 감사하겠습니다 ,6,28
도시건축,산수동 한국건설,6,28
도시건축,아파트 근처 공사소음,6,28
건설교통,산수동 도로확장 공사 소음,6,28
도시건축,민원처리 완료분류,6,28
공원체육,새벽 시에 놀이터소음 ,6,28
기타,생활불편신고 ,6,28
보건복지,생계지원금,6,27
건설교통,불법 현수막 철거 ,6,27
환경청소,쓰레기태움,6,27
기타,신고 ,6,27
도시건축,감리선정방식,6,27
도시건축,집앞 건물 신축공사 일요일 새벽 소음,6,27
공원체육,동적골 가로등,6,26
환경청소,아침에 음식물쓰레기차 싸이렌소리,6,26
건설교통,불법주정차 단속좀 해주세요,6,25
건설교통,보행자를 위협하는 이중주차 실태를 고발합니다 ,6,25
도시건축,다시 한번 문의 드립니다,6,25
도시건축,구와산 산책로는 누가 왜 폐쇄하나요,6,25
도시건축,그늘막설치 ,6,25
건설교통,불법 건축행위를 신고합니다,6,25
기타,지적불부합지일수록 과정 설명이 필요하지 않을까요 ,6,25
도시건축,학동 재개발 지역 문의,6,25
기타,상수도 수질 관리 좀 해주세요필터가 일만에 까맣게 변했습니다 ,6,25
도시건축,논의 사항 통보,6,25
도시건축,충장로 과도한 불법입간판 조치부탁드립니다,6,24
환경청소,산수동 통통장터 공공화장실 악취,6,24
도시건축,보도 수리요청,6,24
도시건축,가로등 수리요청,6,24
공원체육,지원동 골드크레스 하천변 녹지지대 소나무 고사,6,24
환경청소,해충으로 너무힘들어요,6,24
보건복지,주거생활권 침해흡연문제 ,6,23
기타,지적재조사 재미있는 사업입니다,6,23
건설교통,사각지대 볼록거울 설치 요청 ,6,23
환경청소,운림동  치유요양병원 하수처리 민원 ,6,23
건설교통,불법 주차 단속 바랍니다,6,23
건설교통,조선대병원 후문쪽 불법 주정차 단속해주세요,6,23
환경청소,동명동 도시 재생사업 동네 심각한 쓰레기문제,6,22
환경청소,불법작물경작,6,22
기타,학운동 주민센터 근무태반 및 불친절,6,21
문화경제,문화전당 야간경관 사업의 공정한 평가를 원합니다,6,21
공원체육,풍향놀이터,6,21
건설교통,상가앞문앞 주차,6,21
도시건축,구청장님 도와주세요 ,6,21
도시건축,건축물 신축공사중 문제가 없는지 알려 주시면 좋겠습니다,6,21
환경청소,산수동 푸른길과 공공 화장실 하수수 냄새가 심각합니다,6,21
도시건축,비공개회의,6,20
도시건축,이 곳은 언제 정비가 될까요,6,20
환경청소,음식물쓰레기 에 관해서 ,6,20
도시건축,청장님 노고가 많으시네요,6,20
환경청소,광주천변 나무에 붙은 쓰레기 제거 요망,6,19
도시건축,즉시 공고에 대하여,6,18
건설교통,임택 동구청장님 귀하 ,6,18
건설교통,신호등주위불법주차,6,18
건설교통,맨홀뚜껑소음,6,18
기타,석유업체 불법 허가 부분 ,6,18
기타,텃밭 관련 민원입니다 ,6,18
건설교통,지산휴먼시아 오르막길 신호등 앞 ,6,18
도시건축,답변의 범위,6,18
기타,아니 좀 민원인 말 좀 이해를 하고 답변 하세요,6,18
기타,답변할 때 민원인 이름 거론해도 되는지,6,18
기타,진짜 계속 똑같은 답변만 하네요,6,18
건설교통,소음 교통 노숙자,6,17
건설교통,제순환도로 지산동 단사공원 진입에 따른 우려사항 검토요망 ,6,17
공원체육,빛고을 산들길 잡초제거화산마을분적산 오르는 등산길요청 합니다,6,17
기타,자동차 취득세 억울합니다,6,17
건설교통,안전조치 미실시 ,6,17
도시건축,도로와 집앞 아스파트길 패임,6,17
도시건축,불법증축,6,17
건설교통,불법주정차 지속적으로 단속 좀 해주세요,6,17
기타,집에서라도 제발 편히 쉽시다,6,17
도시건축,부실공사 묵인해준 감리업체,6,17
환경청소,주거생활권 침해문제 시정조치,6,17
환경청소,상습 불법 쓰레기 투기자 적발 요청 ,6,16
문화경제,세금이 꼭 필요한곳에 쓰여지길 바랍니다,6,16
건설교통,동명동 푸른길 공영주차장 일방통행로,6,16
환경청소,씽크홀,6,16
기타,지적재조사 사업 땅 면적 모른채 진행한다 ,6,16
기타,골목길 안전보안등,6,15
환경청소,주거생활권 침해를 막아주세요,6,15
환경청소,불법쓰레기 스티커만 부착하면 되는건지요,6,15
건설교통,개념없는블법주정차 ,6,15
도시건축,선거관리위원회 업무처리부당 재질의 ,6,15
환경청소,대지 방치하여 이웃집에 피해 및 환경오염 초래,6,15
문화경제,평생교육원 대금수업 하반기에도 원합니다,6,15
환경청소,산책로 주변 예초작업 요청,6,15
도시건축,즉시 공고,6,15
보건복지,모기등 각종 해충관련 방역,6,15
환경청소,모기가 너무 많아요 ㅠㅠ,6,15
기타,합동분향소 관련 문제제기드려요,6,14
기타,다시 기름냄새 피해 및 화재 때문에 걱정됩니다 ,6,14
기타,동구문화센터수영장,6,14
기타,학동 붕괴사고 희생자 합동분향소 관련,6,14
기타,남광주시장 노점상 및 수족관 파라솥 관련 구청장님께 ,6,14
건설교통,녹동마을옆개울다리는언제,6,14
기타,지적재조사 사업 내 땅에 대한 권리는 철저히 무시하는 사업,6,14
기타,지적재조사 사업 진행시 지적불부합지일수록 주민들에게 면적에 대한 부분을 알려줘야 하는게 맞는 거 아닌가요 ,6,14
도시건축,위험해요,6,14
기타,전남대 응급실 건너편 대형 화분 치워주세요,6,14
도시건축,도로변 에어컨 실외기,6,14
도시건축,구청장님 저희아파트계단철거 공사가 안전한가요,6,14
기타,대인동 영무파라드 층 공사중 술집 소음,6,13
환경청소,생활하수 유입 문의 ,6,13
환경청소,용산지구  앞 편의점 소음 용산어린이공원 쓰레기,6,13
기타,고양이 사체ㅠ,6,13
도시건축,가로등고장신고,6,13
기타,석유업체 관리 행태 소홀 번째 민원 ,6,13
건설교통,계림아이파크 건설현장 앞 사거리 교통신호요청드립니다,6,13
환경청소,생활환경 관련입니다,6,13
도시건축,학동증심사역 환풍기가림막필요위험 ,6,12
기타,유치원 학교등 사각지역에  설치필요 ,6,12
환경청소,산쪽으로 주변으로 방역필요해요,6,12
건설교통,동구 참판로 주정차관련,6,12
건설교통,학동 붕괴사고 현장 가림막 설치요청 ,6,12
기타,실외기 소음 및 열풍,6,12
공원체육,운동기구 보수,6,12
도시건축,공동주택계님 참고하세요 ,6,12
건설교통,대한민국에서 가장 위험한 어린이보호구역 ,6,12
건설교통,지원구역 주택재개발 정비사업 현장 소음관련 작업개시 시간 규제바람니다,6,12
건설교통,주차민원,6,11
건설교통,교통 개선 요청,6,11
환경청소,코로나 위생소독 장소 ,6,11
도시건축,계단철거,6,11
건설교통,도로 정비,6,11
건설교통,에어컨 실외기 문제,6,11
도시건축,이쯤 되면 리콜 ,6,10
도시건축,입주민이 현존하는 아파트안에서 계단 골조 철거작업,6,10
건설교통,동구청장님 퇴진하시는게 도리가 아닐까요 ,6,10
건설교통,월남동 과속방지턱 설치요망 ,6,10
도시건축,정말 정상적인 공사상황인지 답변주세요,6,10
건설교통,지원동 광주남초등학교공사피해 ,6,10
건설교통,지산 진출로 입구 공사 현장에서 사고가 났습니다,6,10
건설교통,나도 당신도 맡은바 소임을 다하자,6,10
미담사례,칭찬합니다,6,10
건설교통,신호등이 가로수의 나뭇잎에 가려서 잘 보이지 않습니다,6,9
환경청소,배기소음신고,6,9
건설교통,끼어들기차량 단속요청,6,9
공원체육,동구다목적 체육관 이용 불편 민원,6,9
공원체육,동구다목적체육관의 행정 편의주를 고발한다,6,9
도시건축,선거관리위원회 업무 처리 부당,6,9
공원체육,용산체육공원 폭죽놀이,6,8
공원체육,지산유원지 가는 인도 ,6,8
건설교통,학운  방면 주택가 사이렌소리,6,8
공원체육,동적골 산책로 도로 ,6,8
건설교통,일방도로 주정차위반 단속개선 요청,6,8
환경청소,광주천 수질,6,8
기타,더러워진 태극기  ,6,8
기타,업무용 휴대폰,6,8
공원체육,동구다목적체육관의 안일한 시간운영의 시정을 촉구합니다,6,8
건설교통,두산 차  차 아파트 사이 신설도로 횡단금지용 중앙분리봉 설치 필요합니다,6,8
도시건축,도로변 가로등 점등해 주세요,6,8
건설교통,황금동 노점단속,6,8
건설교통,소음 ,6,7
건설교통,가로등 고장,6,7
기타,석유업체 근처 담배꽁초 관리 ,6,7
기타,텃밭 관련 답변 보았습니다,6,7
공원체육,운동장 이용에 관해 문의드립니다,6,7
건설교통,버스승강장 싱크홀 ,6,7
문화경제,고등학교 앞 불법 현수막 철거부탁 드립니다,6,7
보건복지,소음민원,6,7
건설교통,광주 동구 지호로  도로에 불법 방지턱설치,6,6
건설교통,동구 임택청장님은 주차정책 시행을 이렇게 밖에 못하십니까,6,6
환경청소,담배꽁초쓰레기,6,6
보건복지,동명동 옥외영업,6,5
기타,동명동 전남여고쪽 쓰레기 분리수거함 설치 요청 ,6,5
건설교통,주정차 관련,6,5
기타,동명동 주차 관련,6,5
기타,장통로동명동가로등교장 ,6,5
건설교통,노후도로 파손집수정 교체요청의 건,6,4
건설교통,장기 주차 관련 문의,6,4
도시건축,미관지역 불법건축물 신고 합니다,6,4
도시건축,광주 마사회 건물 상단 유리 빛반사로 인해 실명이 될 지경입니다 마사회 건물의 상단 모든 유창에 빛반사가 되지 않게 필름 부착등의 개선 요청 드립니다,6,4
건설교통,지원동 영락교회남초등학교 골목 포트홀,6,4
기타,산수동 행정복지센터 민원처리 ,6,4
환경청소,쓰레기 배출장소 위반에 대하여 단속 요망,6,4
문화경제,강소형 관광지 동명동,6,4
환경청소,상습 불법 쓰레기 투기자 신고합니다,6,3
기타,위험물차 사람 지나다니는 곳 앞에 버젓히 주차 민원 ,6,3
도시건축,보행자도로 땅이 꺼져있어 다침,6,3
건설교통,오토바이 불법주차 ,6,3
건설교통,인도 한가운데 주차하는 전동킥보드 단속요청합니다,6,3
도시건축,질의 요지,6,3
환경청소,대인동 오래 방치된 자전거 ,6,2
보건복지,음주운전,6,2
도시건축,주민들의 안전을 뒷전으로 하는 동구청 건축 담자자 보세요,6,2
도시건축,정상적인 공사 상황인가요,6,2
건설교통,공용주차공간 사유지화 민원요청 ,6,2
건설교통,두산차 신호등과 야간가로등켜주세요,6,2
건설교통,동명동 주차,6,2
건설교통,푸른길 전동 퀵보드 통행 통제,6,2
도시건축,학마을아파트 관리주체의 공동주택관리법 위반 신고 ,6,2
도시건축,질의의 요지,6,2
보건복지,경로당,6,1
문화경제,동구 푸른마을공동체 센터,6,1
건설교통,불법주정차와 불법 입간판,6,1
보건복지,동명동의 심각성 ,6,1
건설교통,불법주청차신고합니다,6,1
문화경제,산수시장간판이 어느때부터 안켜지네요 ,6,1
기타,소음,6,1
건설교통,충장로 노점상,6,1
건설교통,한시적 주차시간 조정 ,6,1
건설교통,교통사고다발지역반사경설치,6,1
환경청소,바퀴벌레가 너무 많이 나옵니다 방역 요청드립니다,6,1
건설교통,도로위 적재물 치워주세요,6,1
환경청소,편의점 앞 벤치때문에 새벽마다 힘듭니다,6,1
도시건축,피난계단이 무너져 내리고 있는 모습앞에 처참한 입주민 마음을 아시나요,5,31
건설교통,도로 방치된 블럭자제,5,31
기타,하수도문제 민원 접수합니다,5,31
도시건축,동명동 어울림센터 건축관련 심각한 사생활 침혜,5,31
건설교통,인도가 푹 꺼져 있습니다,5,31
건설교통,불법주정차 단속 및 주정차 차단봉 설치 요청 ,5,31
보건복지,동구에는 거지가 많아요 ,5,31
건설교통,소음,5,31
환경청소,도시에 텃밭 크게 경작 가능한가요,5,31
기타,동명동 강아지 똥 안 치우시는 분들 많네요 ,5,31
공원체육,산수동 문화마당 통통장터에 중앙에 쓰레기 분리수거설치 옳은 행정인가요,5,31
건설교통,가로등,5,30
환경청소,방역민원 신청합니다,5,30
환경청소,생활환경 관련입니다,5,29
건설교통,무등중 앞 상수도공사후 지반에서 물올라옴 ,5,29
