분류,제목,날짜_월,날짜_일
기타,불법노점상 및 불법 점유물,11,4
건설교통,보안등 해중퇴치기 고장,11,4
도시건축,이제 지칩니다,11,4
도시건축,계림동 주민센터 건설에 관하여,11,4
도시건축,앞서 시민분이 계림동행정복지센터 공사장 벽과 추가로 공사장 출입구에 관련해 민원남깁니다,11,3
환경청소,아이스팩 재활용 수거 가능한가요,11,3
건설교통,계림동 행정복지센터 신축관련,11,3
건설교통,동계천로 불법주차 문제,11,3
도시건축,동구 금동 오피스텔로 인한 주택 문제건 처리진행사항,11,3
보건복지,지역 대형병원 응급실 대응체계 조대병원,11,3
공원체육,푸른길 말벌집 철거 요청,11,3
환경청소,홈플러스 계림점 광장 비둘기,11,3
기타,지적 소음 반복민원 짜증이다,11,3
기타,지적재조사계는 엉터리 답변 중이다,11,3
건설교통,주차단속도 좀 하고 주차 못하게 탄력규제봉 설치 바랍니다,11,2
건설교통,어린이보호구역 주정차 금지,11,2
건설교통,어린이보호구역 주정차,11,2
건설교통,주정차단속 직원 불친절,11,2
건설교통,동명동 거리공사 주차민원,11,2
공원체육,제안,11,2
기타,문의,11,1
건설교통,지산 주차공간 문제,11,1
건설교통,그랜드센트럴 동 임대아파트에 관하여,11,1
환경청소,소음,11,1
건설교통,개념없는 불법 주정차,11,1
건설교통,용산생활체육공원 주변 교통불편,11,1
보건복지,수술복사 우편으로 보내주세요,11,1
환경청소,비둘기밥,11,1
건설교통,학동구역 관련하여 참조하시기 바랍니다다,10,31
건설교통,동계천로 보행도로 공사중인데 걱정이되는데요,10,30
건설교통,소음,10,30
환경청소,소음,10,30
건설교통,건의합니다,10,30
건설교통,가로등 점검,10,29
도시건축,주택건설사업계획 승인 건축위원회 심의시 주민 참여가 필요하다고 생각합니다,10,29
기타,위험물판매소인 일석유상를 신고합니다,10,29
건설교통,인도없는 경사로 도로쪽 출입구 개설 문제,10,29
환경청소,흡연 및 주차,10,29
건설교통,산수동 도로개통관련 민원,10,29
도시건축,위험한 공사장,10,29
환경청소,과태료처분과정이 메뉴얼대로 된건지 의문입니다 청소과 직원의 공갈아닌공갈을 받은거같은기분입니다,10,29
미담사례,대한민국건강도시대상수상,10,28
환경청소,청소행정과 직원의 소극행정과 불친절하고 안이한 업무처리 항의,10,28
건설교통,불법주정차 단속 아에 안하죠,10,28
건설교통,그랜드센트럴 정문 불법주정차좀 제발 없게해주세요,10,27
건설교통,법원 앞 불법주차단속,10,27
건설교통,두산차 정문 건너편 인도 안전펜스,10,27
환경청소,불법 간판철거 및 행정조치 요청,10,27
환경청소,동명동 이용섭 선생님을 칭찬합니다,10,26
기타,가로등고장,10,26
환경청소,불법광고물철거바랍니다,10,26
환경청소,쓰레기 소각,10,26
환경청소,양림로번길 건너편 무단투기가 자주 있습니다,10,26
환경청소,대인동 도야짬뽕 건물내흡연,10,26
기타,동구청장님께,10,26
건설교통,파손된 포장도로 보수건,10,26
기타,위반 건축물에 대해서 ,10,26
건설교통,제발 교통영향 고려없는 획일적인 주차단속을 멈춰주세요,10,25
건설교통,경양로 푸른길공원 횡단보도 현수막철거요청,10,25
기타,계림동 주민센터관련,10,25
환경청소,불법광고판제거바랍니다,10,25
도시건축,비상계단공사 후,10,25
환경청소,소음,10,25
건설교통,동명동에 미양심 주민을 신고합니다 조치 바랍니다,10,23
기타,지적재조사 다툼과 분쟁의 기준이 무엇인가요,10,23
건설교통,지원동 모아미래도 앞 인도 설치 건의드립니다,10,22
건설교통,학교 앞 설치요망,10,22
건설교통,골목길 포장을 요청한 주민 의견입니다,10,22
공원체육,주민을 칭찬합니다,10,22
건설교통,동명동카페거리불법주차너무많아요,10,21
보건복지,독감백신접종,10,21
공원체육,너릿재 정자 보수 요청,10,21
건설교통,하수구함몰과 도로 파임,10,21
건설교통,광주광역시 동구 학동 소재 남광교와 학강교 구간의 천변우로 천변쪽 인도 바닥면 보수 및 개선 요청 드립니다,10,21
기타,지적재조사계 홍춘경 주무관님 답변 바랍니다 ,10,20
도시건축,그랜드센트럴 동 상가 층 불법 구조변경에 관한 건,10,20
건설교통,가로등 안전문제로 교체요구 실마유ㅠㅠㅠㅠ,10,20
보건복지,음식 재활용,10,20
건설교통,동네주차,10,19
건설교통,학동조대부고 근처 소방도로공사,10,19
도시건축,가로정비사업 안하시나요,10,19
도시건축,임택구청장님께 드리는 글입니다,10,19
건설교통,주정차 및 역주행 문제,10,19
환경청소,청소행정과답변감사드립니다,10,19
건설교통,아침부터 주차단속,10,19
도시건축,불법건축물단속안하시나요,10,18
문화경제,내남지구 도서관 현황,10,18
기타,주택가 개가 무리지어다닙니다,10,18
환경청소,드롭텁앞커피숍길가 쓰레기천지,10,18
공원체육,월남호반차 공원 설치물 의 방향,10,18
문화경제,다수를 위한 소수의 희생은 당연한건가요,10,18
보건복지,동구행복나눔 봉사단,10,16
건설교통,전신주 가로등 고장,10,16
공원체육,두암근린공원과 상가뒷길주차장쓰레기문제심각성,10,15
기타,지적재조사계 홍춘경 주무관님 답변 바랍니다,10,14
기타,위반 건축에 대해서,10,14
환경청소,동구도 광산구처럼,10,14
문화경제,동명동 장동로와 동계천로 전선지중화공사,10,14
건설교통,가로등 설치 의견,10,14
건설교통,금남공원옆골목 주차 단속해주세요,10,14
기타,나무 부분 궁금합니다,10,14
도시건축,지원로번길 가로등 공사 및 보도블럭 공사로 보행불가능,10,14
건설교통,소태동 어르신들을 위한 인도가 절실히 필요합니다,10,13
건설교통,소방도로 공사 진행과 전주 이전에 관한 건,10,13
건설교통,현수막 이전설치 부탁드립니다,10,13
도시건축,월남동 분산교 인근 공사,10,13
건설교통,가로등 설치가 필요합니다,10,13
환경청소,불법 광고물 철거 요청,10,12
건설교통,월일자글에 대한 월일 답변 반박,10,12
건설교통,아파트 정문 앞 유턴차선 신설로 인해 문제가 발생되고 있습니다 시정 요청드립니다,10,12
도시건축,골목길 주차공간 사유화,10,12
건설교통,주차단속 등,10,11
도시건축,옆집 철거공사후 집이 흔들리고 금이가고 있어요,10,11
건설교통,뭐 이런 어이없는 경우가,10,11
도시건축,이 간판 제거 해 주세용,10,10
기타,동구청에는 몇개의 과가 있는지,10,10
환경청소,청소과 김휘님 감사합니다,10,10
환경청소,쓰레기 불법투기 신고합니다,10,10
환경청소,소음,10,9
건설교통,동명동 보행환경개선공사 경계석 턱이 너무낮아요,10,9
도시건축,금남로가역 새벽 공사,10,9
건설교통,금남로가역 공사,10,9
도시건축,의견서 제출 내용 확인 요망,10,8
문화경제,신설되는 지산에 관한 건,10,8
도시건축,건물의 주입구과 주차장의 입구의 막히는 건축을 막아주세요,10,8
건설교통,지산동 법원 근처 공사문제,10,8
건설교통,산수시장 입구 차 좀 다닙시다,10,8
건설교통,아무리 점심시간이어도 차는 지나가게 해야되는거 아닙니까,10,8
기타,가을의 은행나무,10,8
환경청소,광주고 앞 은행 줍는 작업,10,8
기타,서석초 닭 울음소리,10,8
건설교통,광주 자전거 타랑께 동구 서비스시행 요청,10,8
환경청소,청소행정과에 추가 질문입니다,10,7
공원체육,월남호반차앞공원공사중단민원추가글,10,7
건설교통,서남동 공영주차장에 번호판뗀차량 방치중,10,7
미담사례,동구 별빛정원어린이집 박효주 선생님께 감사인사를 전합니다,10,7
환경청소,청소차량애서 사람이 떨어졌어요,10,7
건설교통,감사합니다  꾸벅,10,7
기타,인도 물건 적치,10,7
기타,동구청에 드리는 내용이니 적극검토 요망,10,7
기타,학동 양명요양병원 근처 개소리,10,6
기타,창밖의 모기포충기는 주민의 마음을 알까,10,6
기타,위반건축물 위반 면적 잘 못 나온 듯 합니다,10,6
도시건축,동명동 인도 공사,10,6
건설교통,남광주역고가쪽 자전거도로 보수신청합니다,10,6
도시건축,지산구역 조합원 명부 자료 청구 관련,10,6
환경청소,금남로가 로머스파크 앞 바이올린동상 소리가 소음 수준입니다,10,6
공원체육,월남호반차앞공원공사중단요청합니다,10,6
공원체육,번월남호반공원공사의견위드코로나 시대에맞는 행정절실,10,5
기타,지적재조사를 통한 지적도 수정에 대한 질문,10,5
도시건축,옥외간판 철거 미이행 지도요청,10,5
건설교통,남광주사거리 좌회전차선문제,10,5
보건복지,동명동 소독 실시 유무 검점 필요,10,5
도시건축,동구 계림구역 먼지관련,10,5
건설교통,용산동 메인도로에 신규 횡단보도 설치를 요청 드립니다,10,4
도시건축,인도 은행나무 열매,10,4
도시건축,김민성님 칭찬합니다 도시재생과,10,4
도시건축,롯데 백화점 가는길 우체국 쪽,10,3
기타,동구에서 오랬동간 거주하고 현재도 거주하는 동구 토박이 주민입니다,10,3
건설교통,가로등 점검요청,10,3
기타,동구청장님 충장축제총감독님 충장축제 매니아로서 간절히 부탁합니다,10,3
기타,밑에 보도블럭 민원 공감합니다,10,3
건설교통,보도블럭 포장 조잡시공,10,3
건설교통,감사드립니다,10,3
환경청소,소음,10,3
건설교통,불법 현수막 철거 부탁드립니다,10,2
건설교통,긴급 복구 부탁드립니다,10,2
도시건축,건물 철거와 관련,10,2
건설교통,동명로번길 도로공사 관련,10,1
기타,답변을 삭제한 것도 있네요,10,1
기타,개카페 소음 문제,10,1
환경청소,정류장 천정 청결문제,10,1
건설교통,아파트옆 도로 리어카 문제,10,1
기타,현수막 게시 과태료 부과,10,1
도시건축,마감기일이 궁금합니다,10,1
도시건축,아파트 공사주변 도로보수요망,9,30
건설교통,가로등 점검 요청,9,30
도시건축,동구청장님 가로주택정비사업 조합설립동의서 발급 위법성 여부 답변 부탁합니다,9,30
도시건축,전선 정리가 시급해보입니다,9,30
도시건축,위반건축물 표기가 안됐네요,9,30
공원체육,둥구 푸른길 수종팻말,9,30
건설교통,동명동 주차문제,9,30
건설교통,남초 어린이보호구역,9,30
미담사례,기획예산실 신은희 주임님을 칭찬합니다,9,29
도시건축,계림동 번지 새벽 공사,9,29
건설교통,제발 단속좀합시다,9,29
건설교통,현수막 철거 부탁드립니다,9,29
도시건축,상정한 안건을 의결없이 시행을 ,9,28
도시건축,긴급공동주택 공용부지 미 의결 사용 부당,9,28
기타,동구청 입구 주차안내소,9,28
기타,구청장님 안녕하십니까,9,28
건설교통,도로반사경 재정비 및 횡단보도 설치 건의,9,28
도시건축,공동주택 운영에 감사합니다,9,27
건설교통,이레도 돼나요,9,27
건설교통,게림동 두산차 메가커피 와 광주고 측벽면  계림신협방면 지브라형횡단보도설치요청건,9,27
도시건축,긴급불법 위원회는 취소해야 합니다,9,26
건설교통,인도를 가로막는 주차정리,9,26
건설교통,주정차무인단속카메라 건,9,26
도시건축,달은 출근 가로등 퇴근,9,26
환경청소,소음,9,26
문화경제,인기 강좌프로그램 개설신청,9,25
건설교통,도로위 맨홀뚜껑 소음,9,25
건설교통,하수구 덮개 파손으로 위험합니다,9,25
건설교통,가로등 고장,9,25
도시건축,답을 주세요,9,24
건설교통,문제가 심각하네요,9,24
환경청소,당 아파트 주위 불법 현수막 수거 요망,9,24
도시건축,가게 앞 도로위 무단점거물 철거요청,9,23
도시건축,광주계림교회옆 신축공사현장의 문제 ,9,23
건설교통,보안등 고장신고,9,23
환경청소,쓰레기 투기가 심해요 좀 달아주세요,9,23
건설교통,도로확장후 주차피해,9,23
도시건축,위험한 불법 건축물 조치 요청요 번째,9,23
건설교통,남광주시장의 작태 동구청의 무능,9,19
기타,한남동 구기 굽는냄새,9,19
기타,교체된 가로등 각도 조절 요청,9,19
도시건축,감사 결과대로 이행하게 해주세요,9,18
환경청소,소음,9,18
환경청소,골목포장이 너무하여 포장요청,9,18
기타,내 고향만은 안 그럴 것이라고 봤지만 정말 무섭습니다,9,17
건설교통,담양버스 너무 합니다,9,17
건설교통,신호등앞주차단속,9,17
보건복지,경로당,9,16
건설교통,학운동 행정복지센터 전기차충전소 제발 ,9,16
환경청소,모기가 넘 많아요,9,16
건설교통,방범등 고장신고,9,16
환경청소,푸른길 잡상인 단속,9,16
도시건축,올바른 조치를 요청합니다,9,16
도시건축,엔씨웨이브 충장점을 고발합니다,9,15
기타,재난지원금 지급 관련 주민센터 업무 숙지 부탁드립니다,9,15
건설교통,현수막으로 운전이 위험합니다,9,15
미담사례,신은희주임님을 칭찬합니다 ,9,15
기타,칭찬합니다 ,9,14
보건복지,지금 집회해도 되나요,9,14
보건복지,안심식당 홍보물품 좋습니다 ,9,14
도시건축,계림동 번지 새벽 공사,9,14
